scientific,MSWFamilyLatin,Folivore,MammalEater,Granivore,Family,Frugivore,Plant,Leaf,Insectivore,Invertebrate,Fish,Fruit,Woody,Herbaceous,Animal,Species,Order,Other,Nectar,Mammal,Genus,Herptile,Bird,Vertebrate,Root,Seed,TrophicLevel,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n,class,subspecies,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,male_maturity_d,genus,female_maturity_d,species,order,family,Scientific_Binomial,CommonName,ZoonomiaName,ZoonomiaTip,HillerName,MSWC_Order,MSWC_Family,MSWC_Genus,MSWC_Species,MedgedDataOrder,Divider,Meyer.Diet.Categorical,Meyer.Lab.Classification,Meyer.Lab.Classification.Clean,Meyer.Lab.Classification.Compressed,MeyerTrophicLevel,DerekDietClassification70,DerekDietClassification90,DerekDietClassification90InsVertivoreSorting,panTheriaTrophicLevel,panTheriaTrophicLevelCharacter,Divider2,DividerSpacer,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.PlantAll,Divider3,Laurasiatheria,Domestication,DomesticationBinary,Echolocation,ForStrat.Certainty,Diet.PlantO,Diet.Fruit,BodyMass.Value,Activity.Source,ForStrat.Comment,ForStrat.Value,Diet.Inv,Diet.Vfish,Activity.Diurnal,Diet.Seed,Activity.Crepuscular,Activity.Certainty,BodyMass.SpecLevel,Diet.Vect,Diet.Vend,Activity.Nocturnal,Diet.Vunk,MSW3_ID,Diet.Certainty,BodyMass.Source,Diet.Nect,Diet.Scav,Diet.Source
Dipodomys ordii,Heteromyidae,1.0,0.0,1.0,HETEROMYIDAE,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,ordii,RODENTIA,1.0,0.0,0.0,Dipodomys,0.0,0.0,0.0,0.0,1.0,Omnivore,Dipodomys ordii,49.6,1.486,156.96,,3613.5,86.77,116.115,29.911,,3.15,2.0,142.877,4.995,34.196,,1142.084,0.203,404.0,0.0,,0.004,,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,30.0,4.0,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,"Nearctic, Neotropical",2.0,Mammalia,-999.0,Ord's Kangaroo Rat,3.15,2.0,49.6,9.9,29.91082,34.19634,4.995,-999.0,-999.0,-999.0,-999.0,9.816666667,0.391444216,-999.0,56.3,47.8,-999.0,-999.0,-999.0,15.696,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Dipodomys,78.829,ordii,Rodentia,Heteromyidae,dipodomys_ordii,Ord Kangaroo Rat,dipOrd2,vs_dipOrd2,HLdipOrd2,Rodentia,Heteromyidae,Dipodomys,ordii,67.0,-,Insectivore/herbivore,Insectivore/herbivore,Omnivore-IH,_Omnivore,Omnivore,H-All-plants-Eater,O-Generalist,O-Generalist,2.0,Omnivore,-,,0.0,0.0,20.0,20.0,60.0,80.0,-,0.0,,,0.0,A,30.0,20.0,60.4,Ref_1,,G,20.0,0.0,0.0,30.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1195.0,ABC,Ref_117,0.0,0.0,Ref_1
Dipodomys stephensi,Heteromyidae,0.0,0.0,1.0,HETEROMYIDAE,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,stephensi,RODENTIA,0.0,0.0,0.0,Dipodomys,0.0,0.0,0.0,0.0,1.0,Omnivore,Dipodomys stephensi,66.495,,158.25,,760.417,,,,,2.62,1.75,,4.4,20.126,27.085,,0.239,3379.99,0.0,,0.001,1.0,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,30.0,4.0,2.0,G,1.0,0.0,0.0,1.0,0.0,1250.0,55.0,1195.0,0.0,,0.0,0.0,Nearctic,2.0,Mammalia,-999.0,Stephens's Kangaroo Rat,2.62,1.75,66.495,2.083333333,-999.0,20.12606,4.4,27.085,-999.0,-999.0,-999.0,2.083333333,-999.0,67.26,67.26,-999.0,-999.0,-999.0,-999.0,15.825,-999.0,-999.0,4.0,-999.0,-999.0,-999.0,-999.0,-999.0,Dipodomys,-999.0,stephensi,Rodentia,Heteromyidae,dipodomys_stephensi,Stephens Kangaroo Rat,HLdipSte1,vs_HLdipSte1,,Rodentia,Heteromyidae,Dipodomys,stephensi,68.0,-,,Insectivore/herbivore,Omnivore-IH,_Omnivore,Omnivore,H-All-plants-Eater,O-Generalist,O-Generalist,1.0,Herbivore,-,,0.0,0.0,20.0,20.0,60.0,80.0,-,0.0,,,0.0,A,30.0,20.0,69.75,Ref_1,,G,20.0,0.0,0.0,30.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1200.0,ABC,Ref_117,0.0,0.0,Ref_1
Perognathus longimembris,Heteromyidae,1.0,0.0,0.0,HETEROMYIDAE,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,longimembris,RODENTIA,0.0,0.0,0.0,Perognathus,0.0,0.0,0.0,0.0,0.0,Omnivore,Perognathus longimembris,8.35,0.324,,,3041.667,125.41,147.78,22.74,,4.45,1.25,,0.9,20.088,4.0,996.453,0.076,174.0,0.0,,0.002,,10.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,1.0,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Nearctic,3.0,Mammalia,-999.0,Little Pocket Mouse,4.45,1.25,8.35,8.333333333,22.74,20.08776,0.9,4.0,-999.0,-999.0,-999.0,8.3,-999.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Perognathus,150.861,longimembris,Rodentia,Heteromyidae,perognathus_longimembris,Silky Pocket Mouse,HLperLonPac1,vs_HLperLonPac1,,Rodentia,Heteromyidae,Perognathus,longimembris,184.0,-,,Insectivore/herbivore,Omnivore-IH,_Omnivore,Omnivore,H-Granivore,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,1.0,Herbivore,-,,0.0,0.0,10.0,0.0,90.0,90.0,-,0.0,,,0.0,A,10.0,0.0,7.6,Ref_1,,G,10.0,0.0,0.0,80.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1220.0,ABC,Ref_117,0.0,0.0,Ref_1
Allactaga bullata,Dipodidae,0.0,0.0,1.0,DIPODIDAE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,bullata,RODENTIA,0.0,0.0,0.0,Allactaga,0.0,0.0,0.0,1.0,1.0,Omnivore,Allactaga bullata,72.5,,,,30.417,,,,,2.52,,,,,,,0.25,,,,,,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,3.0,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,,,,,Palearctic,2.0,Mammalia,-999.0,Gobi Jerboa,2.52,-999.0,-999.0,0.083333333,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.083333333,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Allactaga,-999.0,bullata,Rodentia,Dipodidae,allactaga_bullata,Gobi jerboa,HLallBul1,vs_HLallBul1,,Rodentia,Dipodidae,Allactaga,bullata,5.0,-,,Insectivore/herbivore,Omnivore-IH,_Omnivore,Omnivore,H-Low-sugar-plants-Eater,O-For Examination,O-For Examination,-999.0,,-,,0.0,0.0,20.0,0.0,80.0,80.0,-,0.0,wild,0.0,0.0,A,30.0,0.0,89.35,Ref_1,,G,20.0,0.0,0.0,50.0,0.0,ABC,2.0,0.0,0.0,1.0,0.0,1262.0,ABC,Ref_178,0.0,0.0,Ref_1
Jaculus jaculus,Dipodidae,0.0,0.0,1.0,DIPODIDAE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jaculus,RODENTIA,1.0,0.0,0.0,Jaculus,0.0,0.0,0.0,1.0,1.0,Herbivore,Jaculus jaculus,57.4,1.53,102.18,,2664.5,240.52,304.16,38.0,,3.24,1.5,91.063,2.0,51.0,20.0,919.856,0.22,,1.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,2.0,1.0,G,1.0,0.0,0.0,1.0,0.0,1500.0,,,0.0,,1.0,0.0,"Afrotropical, Palearctic",4.0,Mammalia,-999.0,Lesser Egyptian Jerboa,3.24,1.5,57.4,7.3,38.0,51.0,2.0,20.0,-999.0,-999.0,-999.0,6.741666667,0.249486653,-999.0,-999.0,75.0,-999.0,-999.0,-999.0,10.218,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,137.0,Jaculus,326.883,jaculus,Rodentia,Dipodidae,jaculus_jaculus,Lesser Egyptian jerboa,jacJac1,vs_jacJac1,jacJac1,Rodentia,Dipodidae,Jaculus,jaculus,106.0,-,Herbivore,Herbivore,Herbivore,Herbivore,Herbivore,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,-999.0,,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,0.0,captive,0.0,0.0,A,60.0,0.0,56.55,Ref_1,,G,0.0,0.0,0.0,40.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1280.0,ABC,Ref_117,0.0,0.0,Ref_1
Zapus hudsonius,Dipodidae,0.0,0.0,1.0,DIPODIDAE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,hudsonius,RODENTIA,0.0,0.0,0.0,Zapus,0.0,0.0,0.0,0.0,1.0,Omnivore,Zapus hudsonius,23.8,0.608,97.945,,2044.0,61.87,60.83,19.0,,5.36,2.07,,0.8,28.0,7.8,604.194,0.136,882.0,1.0,1.0,0.002,1.0,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,70.0,0.0,2.0,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,1.0,Nearctic,3.0,Mammalia,-999.0,Meadow Jumping Mouse,5.36,2.07,23.8,5.6,19.0,28.0,0.8,7.8,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,-999.0,26.1,-999.0,-999.0,-999.0,9.7945,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,61.0,Zapus,61.0,hudsonius,Rodentia,Dipodidae,zapus_hudsonius,Jumping Mouse,HLzapHud1,vs_HLzapHud1,,Rodentia,Dipodidae,Zapus,hudsonius,238.0,-,,Insectivore/herbivore,Omnivore-IH,_Omnivore,Omnivore,H-Granivore,O-For Examination,O-For Examination,2.0,Omnivore,-,,0.0,0.0,20.0,10.0,70.0,80.0,-,0.0,captive,0.0,0.0,A,0.0,10.0,17.12,Ref_1,,G,20.0,0.0,0.0,70.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1302.0,ABC,Ref_117,0.0,0.0,Ref_1
Cricetomys gambianus,Nesomyidae,0.0,0.0,0.0,NESOMYIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,gambianus,RODENTIA,0.0,0.0,0.0,Cricetomys,0.0,0.0,3.0,0.0,0.0,Omnivore,Cricetomys gambianus,1510.7,6.57,406.32,,3066.0,177.08,212.91,34.0,,3.33,3.75,,23.1,31.045,,1040.306,1.33,,0.0,,,,40.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,10.0,3.0,2.0,G,1.0,0.0,0.0,1.0,0.0,2000.0,0.0,2000.0,0.0,,1.0,0.0,Afrotropical,3.0,Mammalia,-999.0,Northern Giant Pouched Rat,3.33,3.75,1510.7,8.4,34.0,31.04472,23.1,-999.0,-999.0,-999.0,-999.0,8.358333333,-999.0,-999.0,-999.0,1686.7,-999.0,-999.0,-999.0,40.632,-999.0,-999.0,7.8,-999.0,-999.0,-999.0,-999.0,-999.0,Cricetomys,161.92,gambianus,Rodentia,Nesomyidae,cricetomys_gambianus,African Giant Pouched Rats,HLcriGam1,vs_HLcriGam1,,Rodentia,Nesomyidae,Cricetomys,gambianus,51.0,-,,Generalist,Generalist,_Omnivore,Omnivore,O-Generalist,O-Generalist,O-Generalist,-999.0,,-,,0.0,0.0,40.0,30.0,30.0,60.0,-,0.0,wild,0.0,0.0,A,10.0,30.0,1271.0,Ref_1,,G,40.0,0.0,0.0,20.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1337.0,ABC,Ref_117,0.0,0.0,Ref_1
Microtus arvalis,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,arvalis,RODENTIA,0.0,0.0,0.0,Microtus,0.0,0.0,0.0,0.0,0.0,Herbivore,Microtus arvalis,25.4,0.57,113.66,,1752.0,28.19,49.0,21.0,,5.1,5.5,22.56,1.85,17.653,8.9,447.605,0.141,17600.0,0.0,,0.001,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,2.0,1.0,G,2.0,0.0,0.0,1.0,0.0,3000.0,0.0,3000.0,,,,,Palearctic,4.0,Mammalia,-999.0,Common Vole,5.1,5.5,25.4,4.8,21.0,17.65288,1.85,8.9,-999.0,-999.0,-999.0,3.0,0.061806982,-999.0,-999.0,21.9,-999.0,-999.0,-999.0,11.366,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,56.0,Microtus,38.0,arvalis,Rodentia,Cricetidae,microtus_arvalis,Common vole,HLmicArv1,vs_HLmicArv1,,Rodentia,Cricetidae,Microtus,arvalis,342.0,-,,,,,,H-Nonspecific-Herbivore,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,-999.0,,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,,,,,A,80.0,0.0,28.0,Ref_1,,G,0.0,0.0,1.0,20.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1396.0,ABC,Ref_117,0.0,0.0,Ref_1
Microtus agrestis,Cricetidae,1.0,0.0,1.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,agrestis,RODENTIA,0.0,0.0,0.0,Microtus,0.0,0.0,0.0,1.0,1.0,Herbivore,Microtus agrestis,31.935,0.79,,,1761.125,38.27,52.5,20.72,,4.42,3.6,20.116,2.3,13.392,8.9,465.967,0.159,1948.7,0.0,,0.001,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,2.0,1.0,G,2.0,0.0,0.0,1.0,0.0,2100.0,0.0,2100.0,0.0,,1.0,1.0,Palearctic,5.0,Mammalia,-999.0,Field Vole,4.42,3.6,31.935,4.825,20.72,13.39184,2.3,8.9,-999.0,-999.0,-999.0,3.3,0.055112936,-999.0,-999.0,25.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,42.0,Microtus,36.0,agrestis,Rodentia,Cricetidae,microtus_agrestis,Short-tailed field vole,HLmicAgr2,vs_HLmicAgr2,,Rodentia,Cricetidae,Microtus,agrestis,341.0,-,,,,,,H-Nonspecific-Herbivore,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,-999.0,,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,,,,,A,80.0,0.0,42.5,Ref_1,,G,0.0,0.0,1.0,20.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1397.0,ABC,Ref_117,0.0,0.0,Ref_1
Microtus fortis,Cricetidae,1.0,0.0,1.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,fortis,RODENTIA,0.0,0.0,0.0,Microtus,0.0,0.0,0.0,1.0,1.0,Herbivore,Microtus fortis,63.0,,,,790.833,131.53,,,,5.17,6.0,42.471,,,,,0.232,,,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,2.0,1.0,G,2.0,0.0,0.0,1.0,0.0,2000.0,,,,,,,Palearctic,1.0,Mammalia,-999.0,Reed Vole,5.17,6.0,63.0,2.166666667,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.166666667,0.116358658,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Microtus,122.832,fortis,Rodentia,Cricetidae,microtus_fortis,Reed vole,HLmicFor1,vs_HLmicFor1,,Rodentia,Cricetidae,Microtus,fortis,343.0,-,,,,,,H-Nonspecific-Herbivore,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,-999.0,,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,,,,,A,80.0,0.0,63.0,Ref_1,,G,0.0,0.0,1.0,20.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1408.0,ABC,Ref_117,0.0,0.0,Ref_1
Microtus oeconomus,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oeconomus,RODENTIA,0.0,0.0,0.0,Microtus,0.0,0.0,0.0,0.0,0.0,Herbivore,Microtus oeconomus,33.1,,144.52,,790.833,44.86,42.0,21.56,,5.76,3.44,23.134,2.385,20.0,15.6,220.35,0.163,3985.97,0.0,,0.001,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,2.0,1.0,G,2.0,0.0,0.0,1.0,0.0,2900.0,0.0,2900.0,0.0,,1.0,1.0,"Nearctic, Palearctic",5.0,Mammalia,-999.0,Root Vole,5.76,3.44,33.1,2.166666667,21.55978,20.0,2.385,15.6,-999.0,-999.0,-999.0,1.8,0.063381246,-999.0,35.0,-999.0,-999.0,-999.0,-999.0,14.452,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,48.0,Microtus,36.735,oeconomus,Rodentia,Cricetidae,microtus_oeconomus,Tundra vole,HLmicOec1,vs_HLmicOec1,,Rodentia,Cricetidae,Microtus,oeconomus,344.0,-,,,,,,H-Nonspecific-Herbivore,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,-999.0,,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,,,,,A,80.0,0.0,34.38,Ref_1,,G,0.0,0.0,1.0,20.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1411.0,ABC,Ref_117,0.0,0.0,Ref_1
Microtus ochrogaster,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,ochrogaster,RODENTIA,0.0,0.0,0.0,Microtus,0.0,0.0,0.0,1.0,0.0,Omnivore,Microtus ochrogaster,46.7,0.71,124.435,,1943.625,36.19,58.44,22.523,6.0,3.8,4.0,25.982,3.02,20.392,16.68,615.402,0.197,8990.59,0.0,1.0,0.0,2.75,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,2.0,2.0,G,2.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,1.0,Nearctic,3.0,Mammalia,-999.0,Prairie Vole,3.8,4.0,46.7,5.325,22.52264,20.39212,3.02,16.68,-999.0,-999.0,-999.0,5.3,0.07118412,-999.0,-999.0,48.2,-999.0,-999.0,-999.0,12.4435,-999.0,-999.0,3.249,-999.0,-999.0,-999.0,-999.0,-999.0,Microtus,47.0,ochrogaster,Rodentia,Cricetidae,microtus_ochrogaster,Prairie vole,micOch1,vs_micOch1,micOch1,Rodentia,Cricetidae,Microtus,ochrogaster,132.0,-,Herbivore,Herbivore,Herbivore,Herbivore,Herbivore,H-Nonspecific-Herbivore,H-Low-sugar-plants-Eater,H-Low-sugar-plants-Eater,2.0,Omnivore,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,0.0,captive,0.0,0.0,A,80.0,0.0,38.01,Ref_1,,G,0.0,0.0,1.0,20.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1439.0,ABC,Ref_117,0.0,0.0,Ref_1
Arvicola amphibius,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,amphibius,RODENTIA,2.0,0.0,0.0,Arvicola,0.0,0.0,2.0,2.0,0.0,Omnivore,Arvicola amphibius,108.75,1.64,206.785,,1825.0,48.43,365.0,21.24,,5.08,3.22,26.982,5.29,14.0,42.0,656.087,0.313,57067.85,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0,2.0,2.0,G,,1.0,0.0,1.0,0.0,3210.0,0.0,3210.0,0.0,,1.0,1.0,Palearctic,5.0,Mammalia,-999.0,Eurasian Water Vole,5.08,3.22,108.75,5.0,21.24,14.0,5.29,42.0,-999.0,-999.0,-999.0,4.25,0.073921971,-999.0,-999.0,94.7,-999.0,-999.0,-999.0,20.6785,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,45.0,Arvicola,51.0,amphibius,Rodentia,Cricetidae,arvicola_amphibius,European water vole,HLarvAmp1,vs_HLarvAmp1,,Rodentia,Cricetidae,Arvicola,amphibius,251.0,-,,,,,,H-Nonspecific-Herbivore,H-All-plants-Eater,H-All-plants-Eater,-999.0,,-,,0.0,0.0,0.0,20.0,80.0,100.0,-,,,,,A,80.0,20.0,120.0,Ref_2,,G,0.0,0.0,1.0,0.0,1.0,D1,1.0,0.0,0.0,1.0,0.0,1443.0,ABC,Ref_58,0.0,0.0,Ref_1
Ellobius talpinus,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,talpinus,RODENTIA,0.0,0.0,0.0,Ellobius,0.0,0.0,0.0,1.0,0.0,Herbivore,Ellobius talpinus,39.0,,150.0,,212.917,91.53,152.08,26.24,,3.635,4.375,34.976,,60.431,,,0.178,,0.0,1.0,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,G,,0.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Palearctic,1.0,Mammalia,-999.0,Northern Mole Vole,3.635,4.375,39.0,0.583333333,26.23966,60.431,-999.0,-999.0,-999.0,-999.0,-999.0,0.583333333,0.095824778,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Ellobius,93.702,talpinus,Rodentia,Cricetidae,ellobius_talpinus,Northern Mole Vole,HLellTal1,vs_HLellTal1,,Rodentia,Cricetidae,Ellobius,talpinus,75.0,-,,Herbivore,Herbivore,Herbivore,Herbivore,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,-999.0,,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,0.0,captive,0.0,0.0,A,100.0,0.0,40.0,Ref_3,,G,0.0,0.0,0.0,0.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,1463.0,ABC,Ref_117,0.0,0.0,Ref_1
Ellobius lutescens,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lutescens,RODENTIA,0.0,0.0,0.0,Ellobius,0.0,0.0,0.0,1.0,0.0,Herbivore,Ellobius lutescens,80.0,,150.0,,,,,,,3.67,,,,,,,0.264,,,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.0,G,,0.0,0.0,1.0,0.0,2500.0,700.0,1800.0,,,,,Palearctic,1.0,Mammalia,-999.0,Transcaucasian Mole Vole,3.67,-999.0,80.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Ellobius,-999.0,lutescens,Rodentia,Cricetidae,ellobius_lutescens,Transcaucasian mole vole,HLellLut1,vs_HLellLut1,,Rodentia,Cricetidae,Ellobius,lutescens,74.0,-,,Herbivore,Herbivore,Herbivore,Herbivore,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,H-Nonspecific-Herbivore,-999.0,,-,,0.0,0.0,0.0,0.0,100.0,100.0,-,0.0,captive,0.0,0.0,A,100.0,0.0,117.31,Ref_3,,G,0.0,0.0,0.0,0.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,1465.0,ABC,Ref_117,0.0,0.0,Ref_1
Myodes glareolus,Cricetidae,1.0,0.0,1.0,CRICETIDAE,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,glareolus,RODENTIA,1.0,0.0,0.0,Myodes,0.0,0.0,0.0,0.0,1.0,Omnivore,Myodes glareolus,20.8,0.52,109.19,,1794.583,40.91,83.22,20.0,,4.295,3.2,21.36,1.82,20.0,9.44,577.751,0.126,1500.0,0.0,2.0,0.001,,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,3.0,2.0,G,2.0,0.0,0.0,1.0,0.0,2400.0,0.0,2400.0,0.0,,1.0,1.0,Palearctic,2.0,Mammalia,-999.0,Bank Vole,4.295,3.2,20.8,4.916666667,20.0,20.0,1.82,9.44,-999.0,-999.0,-999.0,4.9,0.058521561,-999.0,21.8,21.5,-999.0,-999.0,-999.0,10.919,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,72.0,Myodes,47.0,glareolus,Rodentia,Cricetidae,myodes_glareolus,Bank vole,HLmyoGla2,vs_HLmyoGla2,,Rodentia,Cricetidae,Myodes,glareolus,356.0,-,,,,,,H-Low-sugar-plants-Eater,O-For Examination,O-For Examination,2.0,Omnivore,-,,0.0,0.0,20.0,0.0,80.0,80.0,-,,,,,A,50.0,0.0,20.73,Ref_1,,G,20.0,0.0,1.0,30.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1495.0,ABC,Ref_58,0.0,0.0,Ref_1
